SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,discount,if_promo_used,if_completed
1,1,13,2.0,12.0,2284,75,3,1,0,5.0,1,15,190.00,17,18,24,0,0,0.00,1,0
6,185,247,49.0,12.0,1809,327,43,31,3,5.0,8,60,11823.00,15,13,117,1,0,0.00,0,0
7,184,72,39.0,9.0,1419,687,30,9,2,4.6,5,41,13136.00,20,4,175,0,3,0.00,0,1
7,184,72,12.0,11.0,2345,1153,121,117,1,4.882352941176471,17,30,24874.00,9,17,175,0,0,0.00,0,1
7,184,584,2.0,12.0,3504,349,11,3,2,5.0,2,10,5050.00,18,14,43,0,4,0.00,0,0
3,3,152,50.0,8.0,837,482,28,19,0,5.0,18,28,25189.00,20,10,37,0,0,0.00,0,0
1,1,12,1.0,8.0,28,0,1,1,0,5.0,1,1,1499.00,10,13,2,0,1,0.00,0,1
3,221,222,43.0,9.0,233,208,3,2,0,4.0,2,1,15787.68,21,18,20,0,1,0.00,0,1
8,455,457,11.0,2.0,17256,119,11,5,2,4.75,4,40,41024.00,15,11,283,0,5,0.00,0,0
1,73,75,11.0,12.0,14236,79,3,2,0,3.0,2,7,2125.00,17,17,71,1,1,0.00,1,0
6,185,247,6.0,8.0,16846,320,6,4,0,4.0,2,10,1400.00,14,13,22,1,1,0.00,0,0
1,1,19,4.0,8.0,649,329,4,3,0,5.0,1,4,2899.00,15,19,3,1,1,0.00,0,1
1,1,12,2.0,12.0,28,316,7,6,0,5.0,6,8,20397.00,15,19,51,0,2,24.95,1,1
7,184,584,6.0,8.0,3504,594,18,10,0,5.0,6,34,9783.78,12,18,197,0,5,0.00,0,1
2,226,279,29.0,12.0,74777,411,14,6,0,3.1666666666666665,6,32,8310.00,18,9,302,0,10,0.00,0,0
1,225,22,44.0,9.0,2526,391,12,9,0,5.0,4,18,19002.50,19,9,13,0,0,0.00,0,1
6,185,247,5.0,2.0,44167,453,44,19,0,5.0,1,80,21891.00,19,13,17,0,0,0.00,0,1
3,3,152,8.0,2.0,63932,24,4,3,0,5.0,2,15,28180.00,0,21,356,0,6,2600.00,0,1
1,1,10,51.0,8.0,9,434,26,14,2,4.714285714285714,14,26,21070.00,11,18,6,0,0,0.00,0,1
3,221,223,44.0,8.0,2930,0,1,1,0,4.0,1,0,7363.32,8,9,48,0,0,0.00,0,1
5,186,207,1.0,2.0,56940,819,13,6,0,5.0,3,38,11470.00,10,17,6,0,0,0.00,0,0
1,225,22,39.0,8.0,1800,434,26,14,2,4.714285714285714,14,26,21070.00,13,14,24,1,1,0.00,0,0
1,73,74,11.0,8.0,2130,946,5,5,0,4.5,4,10,7820.00,15,20,28,0,2,0.00,0,1
3,3,152,6.0,8.0,72924,7,3,2,0,5.0,1,1,2900.00,12,11,22,1,0,0.00,1,0
6,185,247,2.0,8.0,79213,1029,57,33,5,4.363636363636363,22,72,56362.00,13,17,3,0,1,20.00,0,1
3,221,223,50.0,8.0,5959,499,30,17,2,3.2857142857142856,7,52,42848.00,15,9,41,1,0,0.00,0,0
6,185,247,12.0,12.0,1809,327,43,31,3,5.0,8,60,11823.00,17,12,402,1,0,0.00,0,0
7,184,575,11.0,12.0,65288,325,7,4,1,5.0,1,3,92.00,15,14,142,0,1,0.00,1,0
5,186,64,6.0,12.0,1613,573,7,4,1,5.0,1,5,3040.00,16,15,166,0,1,0.00,1,0
6,185,247,47.0,8.0,2330,464,55,53,1,4.826923076923077,52,57,20209.00,20,20,71,0,3,96.00,1,1
1,1,14,6.0,12.0,3836,187,4,1,0,5.0,1,7,1700.00,15,20,580,1,1,0.00,1,0
8,101,159,8.0,12.0,75812,884,12,6,4,2.3333333333333335,3,30,4315.00,14,9,282,0,9,0.00,1,0
6,185,247,47.0,2.0,74184,456,20,15,0,5.0,1,14,8741.00,15,13,21,0,0,0.00,0,1
1,1,618,6.0,12.0,28,126,3,2,0,5.0,1,9,1820.00,15,20,52,0,1,0.00,0,0
1,1,11,1.0,12.0,17674,305,9,5,0,4.5,2,19,7090.00,18,10,303,1,1,24.95,1,1
6,185,247,39.0,8.0,4972,855,337,319,3,4.876106194690266,113,272,56163.00,20,18,21,1,1,20.00,0,1
5,186,64,11.0,8.0,3015,157,12,6,0,4.0,1,28,43019.00,10,17,30,0,1,0.00,0,0
1,1,194,12.0,9.0,1524,185,6,4,0,3.0,1,14,3257.50,22,12,13,0,1,0.00,0,1
3,221,222,5.0,12.0,233,124,2,1,0,5.0,1,3,99.00,18,9,230,0,2,0.00,0,0
6,185,247,11.0,9.0,64798,146,28,22,5,3.625,16,66,10700.00,8,20,11,0,1,80.00,0,1
3,3,152,11.0,2.0,1303,79,3,2,0,5.0,2,1,28000.00,13,18,4,0,0,500.00,1,1
3,3,152,11.0,12.0,710,133,13,8,0,4.333333333333333,6,10,6200.00,13,16,50,0,0,0.00,0,0
1,225,22,11.0,8.0,2526,997,37,25,2,4.473684210526316,19,34,19931.00,22,10,11,0,0,0.00,1,0
5,186,207,11.0,9.0,3015,219,88,76,5,3.891304347826087,46,33,37500.00,9,10,24,0,0,60.00,1,1
1,1,13,1.0,2.0,13087,614,5,2,0,5.0,2,14,5200.00,17,19,1,1,1,0.00,0,0
3,224,434,6.0,12.0,3762,733,11,8,0,5.0,7,27,9790.00,14,12,117,0,3,50.00,1,1
1,1,618,6.0,8.0,9,0,1,1,0,5.0,1,2,2000.00,10,20,9,0,2,0.00,0,1
1,225,22,14.0,12.0,1073,594,18,14,1,4.285714285714286,7,23,13283.00,15,18,2,0,0,0.00,0,0
4,183,167,47.0,9.0,2661,329,12,12,0,4.75,8,6,16850.00,17,10,16,0,0,0.00,0,1
3,221,222,4.0,8.0,89994,564,16,11,1,4.333333333333333,6,22,15890.20,10,11,0,0,0,0.00,0,0
8,333,360,1.0,12.0,17906,112,2,1,0,5.0,1,4,2000.00,18,9,494,0,4,0.00,0,0
5,186,207,1.0,8.0,3015,463,9,8,0,5.0,5,11,4920.00,12,15,2,0,0,0.00,0,0
5,186,69,20.0,8.0,3375,434,293,285,1,4.99644128113879,281,88,285651.00,12,14,1,0,0,0.00,0,1
4,183,167,12.0,9.0,1738,138,4,4,0,5.0,2,4,8090.00,13,15,1,0,0,0.00,0,1
3,235,144,2.0,8.0,233,511,34,15,3,4.285714285714286,7,41,17497.00,9,22,12,0,1,0.00,0,1
5,186,64,6.0,2.0,448,0,3,1,0,1.0,1,2,500.00,12,15,2,1,1,0.00,0,0
3,221,222,17.0,8.0,233,411,8,5,2,3.6666666666666665,3,8,10375.36,10,16,5,0,1,0.00,0,0
3,3,152,11.0,11.0,1303,691,4,1,1,5.0,1,16,3600.00,22,16,113,0,6,0.00,0,0
7,184,72,4.0,11.0,75857,120,23,8,1,5.0,1,31,5130.00,18,9,14,0,0,0.00,0,0
1,1,10,6.0,9.0,28,278,2,2,0,4.0,1,7,3499.00,21,11,61,0,3,0.00,0,1
4,183,200,6.0,9.0,1738,85,4,3,0,5.0,3,4,3800.00,13,12,238,0,1,0.00,0,1
6,185,227,11.0,9.0,73989,194,24,11,0,4.833333333333333,6,42,8880.00,12,14,1,0,0,0.00,0,1
1,1,11,6.0,8.0,2541,448,36,18,3,4.769230769230769,13,74,11188.00,13,12,166,1,1,0.00,1,0
4,183,339,2.0,11.0,1738,347,217,210,0,5.0,104,97,620540.00,16,9,16,0,3,0.00,0,1
1,1,19,4.0,8.0,2793,488,22,15,2,5.0,6,53,9849.00,0,17,16,0,1,0.00,0,1
1,1,13,51.0,12.0,43621,1,4,1,0,5.0,1,2,360.00,17,16,22,1,0,0.00,1,0
5,186,207,11.0,2.0,74619,904,31,17,0,3.6666666666666665,9,32,8650.00,20,16,67,0,2,0.00,0,1
1,1,13,52.0,2.0,4964,930,10,3,1,3.0,1,67,3805.00,12,18,653,0,2,0.00,0,0
1,225,22,11.0,2.0,49086,17,10,10,0,5.0,10,3,90500.00,23,13,13,0,0,500.00,1,1
1,1,284,51.0,12.0,1276,565,9,4,0,4.0,1,20,845.00,18,10,231,0,6,0.00,1,0
3,3,152,1.0,2.0,4994,78,4,2,0,5.0,1,1,10200.00,20,9,468,1,0,0.00,0,0
6,185,274,1.0,9.0,1809,438,123,107,4,4.894736842105263,57,157,303026.55,14,15,120,1,3,0.00,0,0
5,186,64,6.0,8.0,3375,0,1,1,0,4.0,1,1,900.00,20,18,21,0,1,81.00,1,1
6,185,247,6.0,12.0,2330,444,11,8,2,4.833333333333333,6,24,5105.00,17,13,67,0,0,0.00,0,1
3,3,177,44.0,9.0,5035,744,24,10,2,5.0,3,20,23320.00,12,14,1,0,0,0.00,0,0
5,186,64,11.0,12.0,68538,455,54,45,0,4.758620689655173,29,50,31271.00,17,9,39,1,1,0.00,1,0
7,184,72,1.0,8.0,75441,72,5,2,0,5.0,1,17,760.00,13,16,2,1,0,0.00,0,0
4,183,571,12.0,9.0,3129,734,33,23,0,4.944444444444445,18,50,22010.00,11,13,1,0,0,0.00,0,1
1,1,618,11.0,2.0,28,0,1,1,0,5.0,1,5,3099.00,0,19,90,0,5,100.00,0,1
3,3,152,6.0,2.0,75897,658,3,3,0,4.0,1,6,32000.00,13,14,24,0,0,0.00,0,1
5,186,481,8.0,2.0,1053,159,4,3,0,5.0,2,0,3950.00,13,16,2,1,0,0.00,0,0
5,186,563,1.0,8.0,751,116,2,2,0,5.0,2,1,1845.00,8,12,3,0,1,75.00,1,1
6,185,247,2.0,12.0,2330,435,8,4,2,3.75,4,7,1085.00,15,20,52,0,2,25.60,1,1
8,455,456,8.0,12.0,17291,26,4,2,0,5.0,2,12,3299.00,10,14,75,0,0,0.00,0,0
7,184,72,4.0,8.0,1809,102,15,8,5,3.0,1,41,736.00,11,13,1,0,0,0.00,0,0
5,186,655,11.0,9.0,,218,43,26,10,3.6,20,32,10950.00,18,9,14,0,0,0.00,0,0
6,185,247,6.0,12.0,2330,299,144,117,1,5.0,14,256,46562.00,19,13,185,0,0,0.00,0,0
1,225,22,12.0,2.0,1800,37,3,1,0,1.0,1,11,200.00,21,9,107,0,7,0.00,0,1
1,1,13,1.0,12.0,14236,265,4,4,1,5.0,4,20,6999.00,17,14,452,0,10,15.00,1,1
6,185,247,6.0,8.0,2330,588,36,28,2,4.8,20,42,10196.00,23,16,16,0,1,0.00,0,1
3,3,152,6.0,8.0,1418,0,4,1,0,5.0,1,1,300.00,20,9,12,0,0,0.00,1,0
5,186,103,1.0,11.0,751,282,5,1,0,5.0,1,6,11600.00,15,12,524,0,4,0.00,0,0
1,1,14,5.0,12.0,595,23,3,1,0,5.0,1,0,400.00,13,11,165,0,0,0.00,1,0
7,184,72,12.0,11.0,2345,921,11,10,1,4.0,4,7,4622.00,13,17,171,0,0,0.00,0,1
5,186,207,18.0,12.0,78236,0,1,1,0,3.0,1,0,350.00,12,15,2,0,0,0.00,0,1
2,226,25,6.0,8.0,,848,20,5,2,4.2,5,31,2069.00,11,12,0,0,0,0.00,0,0
5,186,65,12.0,8.0,73742,30,8,4,0,5.0,3,19,3550.00,8,18,57,1,0,0.00,0,0
5,186,65,43.0,12.0,68538,621,10,6,1,3.5,4,16,5800.00,11,14,2,1,0,0.00,1,0
8,455,456,6.0,2.0,17256,509,5,3,1,5.0,2,7,2499.00,9,9,239,0,1,0.00,0,0
5,186,64,8.0,2.0,1508,369,13,4,2,5.0,2,45,22387.00,13,10,428,1,0,0.00,0,0
1,1,284,11.0,2.0,3836,708,11,8,2,4.8,5,16,22700.00,12,20,31,0,1,0.00,0,0
5,186,207,2.0,8.0,3015,1012,12,9,0,4.0,7,30,9178.00,14,11,20,0,1,0.00,1,0
3,221,222,12.0,8.0,233,1064,28,14,5,4.818181818181818,11,34,30269.00,13,20,150,0,1,0.00,0,1
6,185,247,43.0,8.0,1809,344,4,2,0,5.0,1,4,640.00,21,12,38,1,1,0.00,0,0
1,225,21,6.0,2.0,649,556,7,7,0,5.0,2,19,44400.00,16,13,20,0,1,0.00,0,1
7,184,72,5.0,12.0,1909,288,24,11,1,5.0,1,51,14284.00,19,18,166,0,2,0.00,0,0
1,1,14,49.0,8.0,1309,445,17,7,0,5.0,2,4,19885.00,12,14,1,0,0,15.00,1,1
3,224,577,5.0,2.0,12983,432,8,6,0,5.0,2,2,148199.00,18,20,1,0,1,0.00,0,1
1,1,643,4.0,2.0,99688,551,15,6,0,4.5,2,33,3150.00,12,10,93,0,0,0.00,1,0
1,1,19,11.0,2.0,649,621,18,13,3,5.0,2,29,5460.00,13,20,30,1,1,0.00,0,0
1,1,14,49.0,8.0,277,252,25,10,4,2.4,5,47,21749.00,20,19,94,0,3,0.00,0,1
1,1,618,44.0,12.0,17977,81,5,4,0,5.0,3,8,1300.00,18,18,23,0,1,0.00,0,0
7,184,644,4.0,8.0,99658,1082,22,14,1,4.75,8,41,11840.00,11,9,93,0,6,100.00,1,1
4,183,167,11.0,8.0,2661,494,8,7,1,4.0,2,9,21187.17,14,20,5,1,1,0.00,0,0
4,183,571,11.0,11.0,21894,382,118,104,1,4.75,40,82,453700.00,12,16,27,0,0,0.00,0,1
7,184,72,6.0,12.0,1419,539,16,11,2,4.818181818181818,11,38,12574.00,11,18,126,0,2,42.25,1,1
6,185,488,4.0,2.0,99658,1105,317,274,4,4.620689655172414,174,295,439547.00,20,10,13,0,0,50.00,1,1
1,1,618,11.0,12.0,9,290,10,6,1,5.0,3,9,6029.00,19,15,19,0,0,0.00,0,0
3,3,152,47.0,2.0,76393,19,2,1,0,5.0,1,2,12500.00,15,12,236,0,0,0.00,0,0
6,185,247,11.0,12.0,64798,593,23,16,2,4.5,2,36,7206.00,16,12,43,1,0,16.00,1,1
5,186,207,4.0,2.0,99573,599,34,21,0,4.666666666666667,9,49,10007.00,13,16,242,0,6,400.00,1,1
1,1,14,8.0,12.0,17977,351,8,4,0,5.0,2,49,6690.00,14,10,139,1,0,0.00,1,0
5,186,207,18.0,12.0,3015,500,14,5,1,5.0,4,36,10090.00,13,16,338,0,10,0.00,1,0
1,1,14,49.0,8.0,9,630,12,10,0,5.0,4,9,17757.00,8,11,2,0,0,0.00,0,1
6,185,247,44.0,12.0,4972,188,11,8,0,5.0,5,11,2820.00,18,14,67,1,0,0.00,0,1
3,224,301,11.0,2.0,12983,637,31,16,2,4.909090909090909,11,33,6259.00,23,17,17,0,1,0.00,0,0
4,183,200,2.0,8.0,14574,18,3,2,0,5.0,2,2,5000.00,15,16,24,0,1,0.00,0,0
1,225,22,1.0,8.0,2526,74,5,5,0,5.0,5,2,1889.00,14,16,1,0,0,75.00,1,1
1,1,14,5.0,8.0,595,678,50,42,7,4.647058823529412,34,67,21460.00,0,10,57,0,0,270.00,1,1
1,1,217,11.0,8.0,3375,434,293,285,1,4.99644128113879,281,88,285651.00,21,15,17,0,1,0.00,0,1
6,185,247,2.0,12.0,2330,148,37,35,1,5.0,8,58,11220.00,18,19,144,0,1,0.00,0,0
7,184,72,12.0,11.0,2345,1133,189,178,2,4.066666666666666,15,93,32788.00,18,17,166,0,0,0.00,0,1
1,1,10,12.0,8.0,595,1107,12,10,0,3.5,2,3,13134.00,11,12,0,0,0,100.00,0,1
6,185,247,20.0,9.0,2336,230,8,8,1,5.0,4,14,3191.00,18,11,40,0,1,120.00,0,1
3,224,301,47.0,12.0,79524,268,13,8,0,4.666666666666667,6,19,7468.00,16,9,88,1,0,75.00,1,1
5,186,563,11.0,9.0,3015,143,13,6,1,4.5,2,40,15095.00,14,14,23,0,1,0.00,0,1
1,1,12,6.0,12.0,2541,923,3,2,0,4.5,2,14,1199.00,10,10,455,0,4,0.00,1,0
5,186,207,4.0,2.0,99573,55,12,4,0,5.0,1,9,24700.00,13,9,379,0,2,0.00,1,0
7,184,72,12.0,2.0,20743,102,6,3,0,4.5,2,10,1950.00,22,17,162,0,4,0.00,0,1
6,185,247,5.0,8.0,73390,1041,169,147,10,4.559322033898305,118,104,28313.00,15,11,283,1,5,0.00,0,0
7,184,572,11.0,8.0,74028,1120,339,287,9,4.955696202531645,158,419,81301.18,19,9,13,0,0,0.00,0,0
