0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,labels
73,83,76,65,77,46,70,65,82,90,65,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,82,85,74,65,82,85,76,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,66,65,78,65,46,69,74,65,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,82,77,73,78,46,84,73,84,72,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,46,84,65,75,66,73,82,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,1
77,73,84,65,76,73,46,75,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
78,65,68,73,65,46,46,77,85,83,65,82,82,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
73,70,84,69,75,72,65,82,46,78,73,65,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,73,76,86,73,65,46,72,65,73,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
78,79,87,82,73,78,46,90,65,72,65,78,46,77,73,84,85,46,46,46,46,46,46,46,46,46,46,46,46,46,0
82,85,77,65,78,65,46,83,72,65,72,78,69,87,65,90,46,77,73,76,76,65,84,46,46,83,72,65,77,77,0
78,65,90,73,72,65,46,78,65,74,77,85,76,46,67,72,79,87,68,72,85,82,89,46,46,46,46,46,46,46,0
65,76,73,83,72,65,46,90,65,82,73,78,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,0
77,82,83,46,77,79,78,73,82,65,46,65,75,84,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,77,66,82,69,69,78,46,46,77,79,82,83,72,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,82,79,87,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,83,76,73,77,65,46,75,72,65,78,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,82,87,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,78,73,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,77,79,83,65,68,68,73,75,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,72,69,69,78,46,77,65,72,77,85,72,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,46,79,76,73,85,76,76,65,72,46,82,65,70,65,84,46,46,46,46,46,46,46,46,46,46,46,46,1
65,77,69,78,65,46,83,85,80,84,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
87,65,83,73,77,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,73,78,84,72,73,65,46,83,73,78,84,72,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,66,82,73,78,65,46,46,65,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
78,65,90,77,73,83,46,83,65,81,85,73,66,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,82,73,70,85,76,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
70,65,82,72,65,78,85,82,46,70,73,68,82,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,84,69,77,65,46,68,73,78,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,46,83,72,65,72,69,68,85,76,46,73,83,76,65,77,46,80,82,73,78,67,69,46,46,46,46,46,46,46,1
65,83,65,68,46,90,65,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
75,46,77,46,65,46,82,85,80,65,46,90,65,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
72,65,70,73,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,85,82,79,86,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
80,76,85,82,65,76,46,80,82,73,78,67,69,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,77,69,82,65,74,46,65,72,65,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,79,70,65,69,76,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,78,74,73,66,46,75,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,85,72,69,69,46,70,65,82,73,89,65,72,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,68,73,65,46,46,83,72,79,77,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
84,65,80,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,78,73,75,65,46,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,75,76,73,77,65,46,72,65,81,85,69,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
72,67,77,73,46,77,85,82,82,85,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,73,77,65,78,84,79,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,73,82,46,77,79,83,72,65,82,82,65,70,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,1
72,65,70,73,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,66,73,78,65,46,89,65,83,77,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
73,66,82,65,72,73,77,46,84,65,78,90,73,76,46,72,68,82,46,46,46,46,46,46,46,46,46,46,46,46,1
68,69,66,65,83,73,83,72,46,66,72,79,87,77,73,67,75,46,46,46,46,46,46,46,46,46,46,46,46,46,1
