SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,schedule_due_counter,if_promo_used,if_completed
,383,386,5.0,6.0,126763,683,56,54,1,4.45945945945946,37,13,8871.00,18,19,0,0,0,0,0,1
4,183,200,19.0,8.0,35246,483,8,8,0,5.0,3,6,6447.00,18,10,39,0,0,0,0,1
3,236,445,1.0,12.0,51261,491,3,2,0,5.0,2,2,150.00,17,13,67,0,0,0,1,0
1,1,17,6.0,8.0,712,622,23,19,2,4.1875,16,26,28344.00,22,21,22,0,3,2,1,1
5,186,207,4.0,2.0,99573,932,5,2,0,3.0,1,15,3350.00,18,9,158,0,0,1,1,0
3,3,177,6.0,2.0,1418,762,30,26,0,4.916666666666667,24,19,68383.00,13,10,44,0,0,0,1,1
1,1,10,1.0,12.0,2448,743,16,5,3,3.4,5,42,1830.00,17,19,1,0,0,0,0,0
2,226,24,18.0,12.0,1552,527,5,1,1,4.0,1,13,100.00,19,11,15,1,0,0,0,0
5,186,65,4.0,12.0,3015,208,9,2,1,5.0,1,16,400.00,16,14,21,1,0,1,1,0
6,185,227,7.0,2.0,73989,608,34,25,2,4.555555555555555,18,20,7010.00,10,13,2,0,0,0,0,0
5,186,563,20.0,8.0,,424,15,13,0,5.0,9,1,4300.00,20,9,12,0,0,0,0,0
1,1,14,20.0,3.0,2526,537,6,5,0,5.0,5,7,15300.00,12,18,53,0,1,1,0,0
5,186,65,11.0,12.0,73742,361,8,4,2,4.666666666666667,3,7,6900.00,13,15,25,0,0,1,1,0
1,1,14,5.0,8.0,123669,566,14,6,0,5.0,5,26,26050.00,11,17,5,0,1,0,0,1
3,3,152,18.0,2.0,73487,124,3,3,0,5.0,1,8,26500.00,13,17,99,0,2,0,0,1
7,184,72,5.0,8.0,1909,655,25,16,1,4.875,8,34,2430.00,10,20,57,0,1,1,0,1
2,226,332,51.0,12.0,18220,189,6,4,0,5.0,1,29,5480.00,17,11,1529,0,12,10,0,0
7,184,72,1.0,8.0,2869,497,69,69,1,4.934426229508197,61,57,183175.00,13,18,28,0,1,0,1,1
3,3,152,6.0,2.0,5035,58,4,1,0,5.0,1,5,1000.00,13,9,115,1,3,2,0,0
1,1,14,15.0,2.0,13413,0,1,1,0,5.0,1,2,200.00,14,14,23,0,2,1,0,1
